Date,Transaction,Receiver,Amount
7/31/2022 14:02,5b2516d5ed33e869dd1e5492d46ca483fb31449aa8951f5f1755048e19c75ddb,Wallex,274946.0289
7/30/2022 17:40,6367d28c2391f3788f78b6e59f4205914496d7132f64668b00ad25dbb70c89fd,Wallex,376791.1759
7/29/2022 21:29,a69dee81db6e6e6c481aed8abffd4ee14123cb9ef8c0dd97ce9fe5dc4c6326f8,Wallex,400000
7/29/2022 6:05,664019587207488f247bfc216185b53a60921845a913c80622080be4ea87599d,Wallex,250000
7/28/2022 18:49,a91189b8294345cc3db3ec122998e9c9dcd9bbf248b04cfaeff3bb635ee9fb8f,Wallex,31763.38261
7/28/2022 16:31,895f4d599a8a0b14a0f9e7faefeadf7af7ebcc54623e1fa9ffe5fe7cd954c9ea,Wallex,176035.7846
7/28/2022 0:40,629aa46f7df8603354d6ee2b840210a566d8cf06e8c139be79cfbb0006c0affa,Wallex,318149.2933
7/27/2022 19:23,214f88130b9b6e2ab637ca44507c65b6149386fe0a1e002d7abf6eb521f0a7f7,Wallex,325306.7132
7/27/2022 12:37,f2b56f5bdd8f4225b54e7a7055e56a1be37e9245549d536d6ec2062f1ef0da23,Wallex,204238.3454
7/27/2022 6:16,9b292522c5e4d6df966ea4ff46eeacb80d23589b1e56df19457de613a6db6479,Wallex,65794.30843
7/26/2022 20:51,0f21d43f346ab0144a304087472a14233fdfbc44da3d8c6935f54d8edf6a907e,Wallex,60391.47236
7/26/2022 17:45,46442f23e5d3acc089b63f1d14322a0b3345b606579645066ea02f21e46d90b1,Wallex,221423.6574
7/26/2022 10:09,68a914d6ab70ac4b609d32bf01c3e414e061a2a885fd9f3f2568412f7d965ca7,Wallex,230197.6635
7/26/2022 5:29,92a5aaa326cdba0b9e3fdd55fd1d41cc3bc885860e742358dc3a66751145e2c9,Wallex,257189.1387
7/26/2022 0:19,321f418d737cf964105366e33c5da2b2dad9eb5640688bbb3eea077b2436a90e,Wallex,177125.476
7/25/2022 15:17,1a59cc5382152284f80f0772e90d2a69abd475d9c8de30ecc9522bbc250fb86b,Wallex,51925.30753
7/25/2022 12:30,2ce270d6b8beaa37dea2097b8fbe657e2f049f43582ef366b1feba7e8d4749d3,Wallex,351472.0272
7/25/2022 9:04,152ba78ba1d2516986cba986300a71073b1ab65da694faa31ebe502c4bb952e4,Wallex,156592.2
7/25/2022 8:20,a1abb1d03a5b09a6ffd2fcb350d3b9d7025456c6f1a300f1ffb6bd44f7a54989,Wallex,30791.21
