Date,Hash/Parent Hash,Amount,Receiver,"Fee, Gwei"
6/10/2022 18:08,0x2f3f0632045d6cb0eeccfc447da14e5fac93ec56fb519427f90ddb968fd6686e,2411700000,bit24,1185224.49
6/10/2022 3:52,0x40bcd0970eaa57b0cb52d9427e55079588f35f577b6c9a1d22826743c103eb67,2886500000,bit24,695867.3859
6/7/2022 11:04,0x12260be5f5d3d9e2174917783953353c8b62b08fda5931892a96bcecd76e80ca,2296700000,bit24,652378.0273
6/7/2022 5:04,0x1e7308e3a3f86c025d5f61744abdb39614485239a84a036691929ee6fe0db844,1910800000,bit24,688901.5669
6/6/2022 17:04,0x3f586388ec741e981f286e92f90ce79e0d1e9228cff8de7ccfc0a4551e438501,1867600000,bit24,1656683.466
6/4/2022 19:52,0xed443d2bba64662bdd353be7c65baff1326673d2786d05e2396d57c3704f0da2,2476500000,bit24,1513950.329
6/4/2022 5:23,0x3a8c09158dca06d6f631eeb4a2e532c74741e266e3fe7d03f5fcbff519cb53db,1901500000,bit24,506831.2229
6/3/2022 1:25,0xd9aa1c0aeaf29142e8d54a27e03c7982cbca2b0175eb70d2422155c8c46c87c9,1866300000,bit24,953904.6473
6/2/2022 22:24,0xe25a238b0b5472195ad14e4235ca05400254beb0802dc4ea125235f6271ef02a,2773600000,bit24,1390918.335
5/31/2022 18:04,0x67c4d9ddebdb14c804805e6abbd07766b7d25cb9215c415e6ba3ed88f8320ab6,1727300000,bit24,1195792.518
5/30/2022 22:12,0x6613683c143ff19a12f0726ee21629c0fac42b90ab20eee0c0fc49c9cfbdc791,2077300000,bit24,1518402.524
5/30/2022 19:04,0xac7214f2fa71d56a73025921a746d81261ee375ea7a684d7f2ff66bf8a0ccf88,1783100000,bit24,829346.5659
5/27/2022 10:44,0xe63a5d37bb5e083aad02dcc8f1903afff1dc8d91df35462081f599018b59e1f8,1916700000,bit24,434398.7198
5/27/2022 3:32,0x3223f09dcffbe93c9bf5b0c7aa680f11e12c21b506de82b434d28ea13d4e3310,1908900000,bit24,1647473.992
5/26/2022 6:56,0x42925b170d46055a0a55b63c172b9c09e5acead725be7c1ab01e907d5ae977d3,2194400000,bit24,603270.5835
5/25/2022 16:24,0x697c1c032900014a856bb19e2524a831edb6738115ea9a128f73b97ef87e533e,2144500000,bit24,1237270.999
5/25/2022 12:44,0x1375041a63f58d804d10e99f7618d49e745136533250a55614da30ea67612d0a,2135400000,bit24,798182.5161
5/24/2022 14:44,0x2b17f90b98d811da41a3cdbdfdaaa80e4726f43c0ecefd07546f7d48cc9a63d1,1664000000,bit24,659126.8093
5/23/2022 20:52,0x867c99d01da7645d47ea79e56400ae8862a3b2cd04fd1505c5160048e45c092d,3879900000,bit24,384720.3539
5/20/2022 19:23,0xd5fd938c7ad40caa3ae22c20e70f1f94ed663d15782a6ffb3feb3ec1a93fe5ef,1954200000,bit24,594747.4115
5/19/2022 7:24,0x8aaad95d88f26b529173573fcc753856d855ebf222e25cbf53d08035bbceb9e8,1772900000,bit24,402181.5067
5/16/2022 9:32,0xca0d753b21c7f97a55eef9af7e89d76a90b75cdb103c930fd5dd4b579f3ff871,2348200000,bit24,526172.0553
5/15/2022 7:32,0x97a5bf2e8c52dc02f365b2615d35f964a9412fd1a98c50bf91e5353dde6198de,1588300000,bit24,419852.9142
