Date,Transaction,Receiver,Amount
5/26/2022 13:30,4dd10b20e7b713cc46e423bc4d7c62909c7ad00b641659022056237a6d6082b1,Nobitex,4113053.798
6/2/2022 8:34,c3000f8fdbb57f6676ed9dcd77f8b42cdb213f2d7718c2a6d3cc86f2c5000406,Nobitex,4100269.243
5/11/2022 17:50,4486ee39954021424fb2eeeeacc512e61ab8566589edcde8fefbfe469bc17c12,Nobitex,4024614.227
7/12/2023 13:24,276d805118141e20c740556b3eff5f5c1cc0a6c3d3592cef6dac473df5c3aa76,Nobitex,4000000
6/10/2023 13:40,64d9c482f4281d96119683f35bb0d6d288ed1b7d5e1322c3defb7ac07068073c,Nobitex,4000000
6/6/2023 23:45,91a1f46b28421590c57cf012401f67039377899274912ee35cfda278700664ce,Nobitex,4000000
6/5/2023 19:55,196b60d5a9c59d33ef7b6d0714cb57fa138384e4b6f1167421893ce76fe8d3fc,Nobitex,4000000
5/31/2023 9:41,ef55d1f298e208006c2153b8818fbf24ee7b403e2e210728ab2cb89efe045cac,Nobitex,4000000
5/29/2023 16:58,c0374a39937a3c0e0f9e264d48c5fab98ab84e40ac4d1e17c52f2919d833b0bc,Nobitex,4000000
5/28/2023 8:33,f69ded35f8afe9a59c687088f31ba6e3c49c0dd3e96a889df502e3f1027671ef,Nobitex,4000000
5/25/2023 5:40,25d4fb9c134aafa3aa283d72594f7be94cbc7a587301f4eb48f061b6835e2f5a,Nobitex,4000000
5/23/2023 10:02,0d4f38299018c61b0e741e382a5a1a92c20f1e2a23eb999f41c89ee8ca04ee84,Nobitex,4000000
5/18/2023 5:28,41e21b631e6f83a23ee78b2d435b73c1029d12db42083a327ebc6f3bedf09908,Nobitex,4000000
5/12/2023 6:35,d36a79a80dd2d2d815f3f65b3c53ff1fee2348aab031afb5f1862e7ed71c1056,Nobitex,4000000
5/9/2023 15:30,b47ff9384307fdfe262c50a0ebf30957ad458a764102aae09f516ed03bcaf44f,Nobitex,4000000
5/7/2023 9:22,390c7e9287ec17de496234c4102ddb332159992a792022930b522dda3d932973,Nobitex,4000000
5/3/2023 11:50,de869a83e8866ffcb9e03f569ea79bbf6cc12a67b1277b0211cd9d411cbd39c8,Nobitex,4000000
5/1/2023 6:48,763b9e166c17573548ba43aaa209cb45bcc77a9ed175d43a4b209e0573a12b01,Nobitex,4000000
