Date,Hash/Parent Hash,Amount,Receiver,"Fee, Gwei"
12/28/2022 18:52,0xfc2c1a2720c53175a731a0b09282ce24ff24d6537757ac056d0c61bfacd1f663,300000000,Excoino,350522.9571
12/28/2022 12:58,0x584ad6a608b27cd29fc89da75064012a0864ceb774dc5193a93a0bb5cff0e94c,500000000,Excoino,298100.1293
12/28/2022 10:32,0x37faab33134c22b06251d0d5d9f422dd34bcacaa6f8c6d15750b9d5c9713e78b,1500000000,Excoino,279515.1497
12/26/2022 20:56,0x4722eb59dd1a188210c5e4d1a201941d30cd4c14817de2b1d99ccfd16df83a63,500000000,Excoino,258609.0145
12/26/2022 14:44,0x2353634564bbe5bd9ea7ca7144998599edfbac61efdee9293109630ccda2e5c0,1000000000,Excoino,243200.0547
12/25/2022 6:25,0xa8bd301548924eb9cd572bb73fb341047793dac191122ff3c06ad414c6ee9ecd,500000000,Excoino,230582.569
12/25/2022 5:47,0x3cf5fcc4c6a55d3d561346777c4d03582dd30198abf575fc91fffe57d6b87d60,220000000,Excoino,248750.1039
12/24/2022 10:20,0x821ac3482ba5b88824f78064090d9d7013cb6433ecc74926fc42b4a829892e5a,1000000000,Excoino,236149.4866
12/24/2022 5:07,0x9fdc838632d08399ddf4dd90cac4862e39c414e5534ad1bd56f87b83f30b4250,220000000,Excoino,258192.1616
12/23/2022 15:58,0x56017fd66092621f361c9b5c734f867b351e3fdccbf7f20138a88b5f7df84819,1000000000,Excoino,364648.8055
12/22/2022 20:47,0x5ac4328cee58f8a981cbe096f5b933043aded79263387afb36a2570ab23dea56,400000000,Excoino,333281.9751
12/22/2022 12:41,0xfe3e6c4b61e7b46c672b8e00ed722dd334a0329021eaf8aa390757eec2a9f11d,500000000,Excoino,364742.5216
12/21/2022 18:13,0x5794ecdf91a8eee49fd5d80ae77b761d0e6e3fc17394c5091ea55ad8faef0e65,600000000,Excoino,359727.5588
12/21/2022 17:58,0xbcf75d9871875ccc88b8c68fcd94762c0d612f0fc543e9583565fb24d86aebc4,1300000000,Excoino,352019.6152
12/21/2022 12:47,0x856de26b01b8a34171d13ae8e6918f9effaa3ba8baafcd168d81c4dd95a6d773,1000000000,Excoino,305295.8518
12/19/2022 20:51,0xe0f6b86a47850847342ef6ab185745ba5c676a3a7b05e1d0ab854f7a36cb88de,550000000,Excoino,353706.8906
12/18/2022 18:34,0xa1e1bc5b1bd1adc0cff8665772bc1b11144c381975b50acd5480488f435c672c,500000000,Excoino,277104.4796
12/17/2022 10:40,0x7d434ab89ffb1722762c2550bd44b62dc93f27af6998d270d5bc79ae30f39151,200000000,Excoino,264078.3017
12/15/2022 22:16,0xc6b8c254670652e3908c19cf34c6d900ab420a483b2372ff8358292a55103e2c,700000000,Excoino,383732.7467
12/15/2022 8:52,0x202035879b044cbb4bc05cd1bcc3397c36d3b6a01dc416f7f20cc18ac4a0c24d,800000000,Excoino,274262.1906
12/14/2022 21:12,0x0f9f6f46abf0590ee64e8aea323faabe2f46ae37494bdc5c761533144f69e132,600000000,Excoino,290626.9569
